Passport_Record_ID,Project,Year_Quarter_Month_Week_ID,Month_Key,BOQ,BOQ_Name,IWP_ID_EXPORT,System_Label,Unit of Measure,Unit_Price,Plan_Qty_Month,Plan_PV_WorkValue_auto,Plan_Work_Start_Date,Plan_Work_Finish_Date,Facility_Building.,crew,Construction_Discipline.,Budget_Status
"MP-April-2026-BOQ ""2041-01-27-02  –  Изоляция воздуховодов матами минераловатными из каменной ваты, с односторонним покрытием сеткой из стальной гальванизированной проволоки""-16160-13 -БОВ-1-13-В-9 • Титул 16160-13 • Вентиляция-АСИ-6",PRJ_001_БХК,2026-Q2-04-W18,April-2026,2041-01-27-02,"Изоляция воздуховодов матами минераловатными из каменной ваты, с односторонним покрытием сеткой из стальной гальванизированной проволоки",БОВ-1-13-В-9,EF-001,м3 / m3,"₽29424,79","1,240","₽   36486,74",28 Апреля 2026 г.,28 Апреля 2026 г.,16160-13 ,АСИ-6,Вентиляция ,Rejected - Отклонен
MP-April-2026-BOQ 2041-01-26-01  –  Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса Н (нормальные)-16160-13 -БОВ-1-13-В-10 • Титул 16160-13 • Вентиляция-АСИ-6,PRJ_001_БХК,2026-Q2-04-W18,April-2026,2041-01-26-01,Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса Н (нормальные),БОВ-1-13-В-10,EF-002,м2 / m2,"₽7164,00","64,270","₽   460430,28",29 Апреля 2026 г.,30 Апреля 2026 г.,16160-13 ,АСИ-6,Вентиляция ,Approved - Утверждено
"MP-April-2026-BOQ ""2041-01-27-02  –  Изоляция воздуховодов матами минераловатными из каменной ваты, с односторонним покрытием сеткой из стальной гальванизированной проволоки""-16160-13 -БОВ-1-13-В-10 • Титул 16160-13 • Вентиляция-АСИ-11",PRJ_001_БХК,2026-Q2-04-W18,April-2026,2041-01-27-02,"Изоляция воздуховодов матами минераловатными из каменной ваты, с односторонним покрытием сеткой из стальной гальванизированной проволоки",БОВ-1-13-В-10,EF-002,м3 / m3,"₽29424,79","2,590","₽   76210,21",29 Апреля 2026 г.,30 Апреля 2026 г.,16160-13 ,АСИ-11,Вентиляция ,Rejected - Отклонен
MP-April-2026-BOQ 2041-01-26-01  –  Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса Н (нормальные)-16160-13 -БОВ-1-13-В-11 • Титул 16160-13 • Вентиляция-АСИ-11,PRJ_001_БХК,2026-Q2-04-W18,April-2026,2041-01-26-01,Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса Н (нормальные),БОВ-1-13-В-11,EF-003,м2 / m2,"₽7164,00","3,040","₽   21778,56",27 Апреля 2026 г.,30 Апреля 2026 г.,16160-13 ,АСИ-11,Вентиляция ,Approved - Утверждено
MP-April-2026-BOQ 2041-01-26-01  –  Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса Н (нормальные)-16160-13 -БОВ-1-13-В-12 • Титул 16160-13 • Вентиляция-АСИ-11,PRJ_001_БХК,2026-Q2-04-W15,April-2026,2041-01-26-01,Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса Н (нормальные),БОВ-1-13-В-12,EF-004,м2 / m2,"₽7164,00","1,560","₽   11175,84",6 Апреля 2026 г.,7 Апреля 2026 г.,16160-13 ,АСИ-11,Вентиляция ,Approved - Утверждено
MP-April-2026-BOQ 2041-01-26-01  –  Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса Н (нормальные)-16160-13 -БОВ-1-13-В-13 • Титул 16160-13 • Вентиляция-АСИ-11,PRJ_001_БХК,2026-Q2-04-W15,April-2026,2041-01-26-01,Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса Н (нормальные),БОВ-1-13-В-13,EF-005,м2 / m2,"₽7164,00","1,490","₽   10674,36",8 Апреля 2026 г.,9 Апреля 2026 г.,16160-13 ,АСИ-11,Вентиляция ,Approved - Утверждено
MP-April-2026-BOQ 2041-01-26-01  –  Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса Н (нормальные)-16160-13 -БОВ-1-13-В-14 • Титул 16160-13 • Вентиляция-АСИ-11,PRJ_001_БХК,2026-Q2-04-W15,April-2026,2041-01-26-01,Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса Н (нормальные),БОВ-1-13-В-14,EF-006,м2 / m2,"₽7164,00","1,010","₽   7235,64",10 Апреля 2026 г.,11 Апреля 2026 г.,16160-13 ,АСИ-11,Вентиляция ,Approved - Утверждено
MP-April-2026-BOQ 2041-01-26-01  –  Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса Н (нормальные)-16160-13 -БОВ-1-13-В-15 • Титул 16160-13 • Вентиляция-АСИ-11,PRJ_001_БХК,2026-Q2-04-W15,April-2026,2041-01-26-01,Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса Н (нормальные),БОВ-1-13-В-15,EF-007,м2 / m2,"₽7164,00","0,150","₽   1074,60",12 Апреля 2026 г.,13 Апреля 2026 г.,16160-13 ,АСИ-11,Вентиляция ,Approved - Утверждено
MP-April-2026-BOQ 2041-01-26-01  –  Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса Н (нормальные)-16160-13 -БОВ-1-13-В-16 • Титул 16160-13 • Вентиляция-АСИ-11,PRJ_001_БХК,2026-Q2-04-W16,April-2026,2041-01-26-01,Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса Н (нормальные),БОВ-1-13-В-16,EF-008,м2 / m2,"₽7164,00","17,660","₽   126516,24",14 Апреля 2026 г.,17 Апреля 2026 г.,16160-13 ,АСИ-11,Вентиляция ,Approved - Утверждено
MP-April-2026-BOQ 2041-01-26-22  –  Прокладка воздуховодов из листовой и оцинкованной стали класса Н (нормальные) и П (плотные)-16160-13 -БОВ-1-13-В-16 • Титул 16160-13 • Вентиляция-АСИ-11,PRJ_001_БХК,2026-Q2-04-W16,April-2026,2041-01-26-22,Прокладка воздуховодов из листовой и оцинкованной стали класса Н (нормальные) и П (плотные),БОВ-1-13-В-16,EF-008,м2 / m2,"₽6716,56","10,390","₽   69785,06",14 Апреля 2026 г.,17 Апреля 2026 г.,16160-13 ,АСИ-11,Вентиляция ,Approved - Утверждено
"MP-April-2026-BOQ ""2041-01-27-02  –  Изоляция воздуховодов матами минераловатными из каменной ваты, с односторонним покрытием сеткой из стальной гальванизированной проволоки""-16160-13 -БОВ-1-13-В-16 • Титул 16160-13 • Вентиляция-АСИ-11",PRJ_001_БХК,2026-Q2-04-W16,April-2026,2041-01-27-02,"Изоляция воздуховодов матами минераловатными из каменной ваты, с односторонним покрытием сеткой из стальной гальванизированной проволоки",БОВ-1-13-В-16,EF-008,м3 / m3,"₽29424,79","0,740","₽   21774,34",14 Апреля 2026 г.,17 Апреля 2026 г.,16160-13 ,АСИ-11,Вентиляция ,Rejected - Отклонен
