Name,BoQ_Code,Description,Facility_Building,Construction_Discipline,Unit of Measure,Project_Qty,Unit_Price,Total Value
"2041-01-23-11 – Клапаны обратные: периметром до 2400 мм,2041-01-23-11,Клапаны обратные: периметром до 2400 мм,16160-13 ,Вентиляция ,шт. / pcs,""2,00"",""₽ 19500,00"",""₽ 39000,00""",,,,,,,,
"2041-01-26-04 – Зонты вентиляционные из листовой стали круглого сечения диаметром: 250 мм,2041-01-26-04,Зонты вентиляционные из листовой стали круглого сечения диаметром: 250 мм,16160-13 ,Вентиляция ,шт. / pcs,,""₽ 7781,66"",",,,,,,,,
2041-01-25 – Компоненты воздуховодов,2041-01-25,Компоненты воздуховодов,16160-13,Вентиляция,,,,
2041-01-08 – Компрессорно-конденсаторные блоки с воздушным охлаждением,2041-01-08,Компрессорно-конденсаторные блоки с воздушным охлаждением,16160-13,Вентиляция,,,,
2041-02-05 – Узел регулирования,2041-02-05,Узел регулирования,16160-13,Теплоснабжение,,,,
"2041-01-23-25 – Заслонки воздушные и клапаны воздушные КВР с ручным приводом: периметром до 2400 мм,2041-01-23-25,Заслонки воздушные и клапаны воздушные КВР с ручным приводом: периметром до 2400 мм,16160-13 ,Вентиляция ,шт. / pcs,""6,00"",""₽ 49700,00"",""₽ 298200,00""",,,,,,,,
"2041-01-23-05 – Клапаны обратные: диаметром до 355 мм,2041-01-23-05,Клапаны обратные: диаметром до 355 мм,16160-13 ,Вентиляция ,шт. / pcs,""5,00"",""₽ 6876,65"",""₽ 34383,25""",,,,,,,,
"2041-01-26-06 – Зонты вентиляционные из листовой стали круглого сечения диаметром: 400 мм,2041-01-26-06,Зонты вентиляционные из листовой стали круглого сечения диаметром: 400 мм,16160-13 ,Вентиляция ,шт. / pcs,,""₽ 20500,00"",",,,,,,,,
"2041-02-09-01 – Заправка хладагентом, R410A,2041-02-09-01,""Заправка хладагентом, R410A"",16160-13 ,Кондиционирование,кг / kg,""318,70"",""₽ 1658,40"",""₽ 528532,08""",,,,,,,,
"2041-02-11-05 – Индивидуальный тепловой пункт, Ду ввода ТС 250 мм,2041-02-11-05,""Индивидуальный тепловой пункт, Ду ввода ТС 250 мм"",16160-13 ,Теплоснабжение,компл. / package,,""₽ 1160000,00"",",,,,,,,,
"2041-01-23-32 – Заслонки воздушные и клапаны воздушные КВР с электрическим или пневматическим приводом: периметром до 1000 мм,2041-01-23-32,Заслонки воздушные и клапаны воздушные КВР с электрическим или пневматическим приводом: периметром до 1000 мм,16160-13 ,Вентиляция ,шт. / pcs,,""₽ 15719,09"",",,,,,,,,
"2041-01-23-18 – Заслонки воздушные и клапаны воздушные КВР с ручным приводом: диаметром до 250 мм,2041-01-23-18,Заслонки воздушные и клапаны воздушные КВР с ручным приводом: диаметром до 250 мм,16160-13 ,Вентиляция ,шт. / pcs,""6,00"",""₽ 4333,97"",""₽ 26003,82""",,,,,,,,
"2041-01-13-04 – Внутренней блок настенного типа мощностью: свыше 8 кВт,2041-01-13-04,Внутренней блок настенного типа мощностью: свыше 8 кВт,16160-13 ,Кондиционирование,шт. / pcs,""3,00"",""₽ 27190,00"",""₽ 81570,00""",,,,,,,,
"2041-02-06-05 – BS- контроллер с портами до 5,2041-02-06-05,BS- контроллер с портами до 5,16160-13 ,Кондиционирование,шт. / pcs,,""₽ 73539,46"",",,,,,,,,
"2041-02-06-03 – Медные трубы для трубопроводов хладагента до DN50, включая все фитинги,2041-02-06-03,""Медные трубы для трубопроводов хладагента до DN50, включая все фитинги"",16160-13 ,Кондиционирование,м / m,""503,17"",""₽ 4234,16"",""₽ 2130502,29""",,,,,,,,
