Name,BoQ_Code,Description,Facility_Building,Construction_Discipline,Unit of Measure,Project_Qty,Unit_Price,Total Value
"1500-02-02-04 – Монтаж крышек кабельных лестниц и лотков от 500мм до 600мм шириной,1500-02-02-04,""Монтаж крышек кабельных лестниц и лотков от 500мм до 600мм",,,,,,,,
"шириной"",16160-13 ,Автоматизация,м / m,,,",,,,,,,,
1500-05-02-07 – Манометры,1500-05-02-07,Манометры,16160-13,Автоматизация,шт. / pcs,,,
1500-03-10-10 – Секция вкладыша 60 x 60 мм,1500-03-10-10,Секция вкладыша 60 x 60 мм,16160-13,Автоматизация,шт. / pcs,,,
"1500-02-03-09 – Монтаж перфорированного кабельного лотка шириной от 50 мм до 100мм,1500-02-03-09,""Монтаж перфорированного кабельного лотка шириной от 50 мм до",,,,,,,,
"100мм"",16160-13 ,Автоматизация,м / m,""345,00"",""₽ 2600,00"",""₽ 897000,00""",,,,,,,,
"1500-02-03 – Монтаж вторичных кабеленесущих систем, включая опоры,1500-02-03,""Монтаж вторичных кабеленесущих систем, включая опоры"",16160-13 ,Автоматизация, ,,,",,,,,,,,
"1500-03-01-02 – Монтаж контрольного кабеля, не бронированного, надземная прокладка, с медными жилами и весом от 1 кг до 2 кг на 1 м.п.,1500-03-01-02,""Монтаж контрольного кабеля, не бронированного, надземная",,,,,,,,
"прокладка, с медными жилами и весом от 1 кг до 2 кг на 1 м.п."",16160-13 ,Автоматизация,м / m,,,",,,,,,,,
"1500-03-10-05 – Рама, тип 5 (от 560 x 560 мм до 650 х 650мм ),1500-03-10-05,""Рама, тип 5 (от 560 x 560 мм до 650 х 650мм )"",16160-13 ,Автоматизация,шт. / pcs,,,",,,,,,,,
"1500-03-03-01 – Монтаж контрольного кабеля, бронированного, надземная прокладка, с медными жилами и весом до 1 кг на 1 м.п.,1500-03-03-01,""Монтаж контрольного кабеля, бронированного, надземная прокладка,",,,,,,,,
"с медными жилами и весом до 1 кг на 1 м.п."",16160-13 ,Автоматизация,м / m,,,",,,,,,,,
"1500-06-01 – Установка шкафов, панелей, консолей и компьютерного оборудования,1500-06-01,""Установка шкафов, панелей, консолей и компьютерного оборудования"",16160-13 ,Автоматизация, ,,,",,,,,,,,
1500-05-07-02 – Клеммная коробка,1500-05-07-02,Клеммная коробка,16160-13,Автоматизация,шт. / pcs,,,
1500-04-06 – Подключение провода заземления,1500-04-06,Подключение провода заземления,16160-13,Автоматизация,,,,
1500-02 – МОНТАЖ КАБЕЛЕНЕСУЩИХ СИСТЕМ,1500-02,МОНТАЖ КАБЕЛЕНЕСУЩИХ СИСТЕМ,16160-13,Автоматизация,,,,
1500-02-02 – Монтаж крышек кабельных лестниц и лотков,1500-02-02,Монтаж крышек кабельных лестниц и лотков,16160-13,Автоматизация,,,,
1500-03-10-16 – Трубная кабельная проходка до d= 90мм,1500-03-10-16,Трубная кабельная проходка до d= 90мм,16160-13,Автоматизация,шт. / pcs,,,
1500-04-01 – Расключение не армированного медного кабеля,1500-04-01,Расключение не армированного медного кабеля,16160-13,Автоматизация,,,,
"1500-05-02-01 – Преобразователь /датчик давления, на технологическом трубопроводе (резьбовое соединение),1500-05-02-01,""Преобразователь /датчик давления, на технологическом",,,,,,,,
"трубопроводе (резьбовое соединение)"",16160-13 ,Автоматизация,шт. / pcs,,,",,,,,,,,
"1500-02-04-01 – Монтаж крышки кабельной лестницы или лотка шириной от 50 мм до 100мм,1500-02-04-01,""Монтаж крышки кабельной лестницы или лотка шириной от 50 мм до",,,,,,,,
"100мм"",16160-13 ,Автоматизация,м / m,,,",,,,,,,,
1500-04 – ИТОГО РАСКЛЮЧЕНИЕ КАБЕЛЯ,1500-04,ИТОГО РАСКЛЮЧЕНИЕ КАБЕЛЯ,16160-13,Автоматизация,,,,
"1500-02-01-04 – Монтаж кабельной лестницы или лотка шириной от 500мм до 600мм,1500-02-01-04,Монтаж кабельной лестницы или лотка шириной от 500мм до 600мм,16160-13 ,Автоматизация,м / m,""58,00"",""₽ 4400,00"",""₽ 255200,00""",,,,,,,,
"1500-03-03 – Монтаж контрольного, медного кабеля, бронированного, надземная прокладка,1500-03-03,""Монтаж контрольного, медного кабеля, бронированного, надземная",,,,,,,,
"прокладка"",16160-13 ,Автоматизация, ,,,",,,,,,,,
"1470-03-02-06.ТС – Монтаж ЗРА DN 50 (металл),1470-03-02-06.ТС,Монтаж ЗРА DN 50 (металл),16160-13 ,Теплоснабжение,шт. / pcs,""4,00"",""₽ 4100,32"",""₽ 16401,28""",,,,,,,,
"1470-03-02-04.ТС – Монтаж ЗРА DN 32 (металл),1470-03-02-04.ТС,Монтаж ЗРА DN 32 (металл),16160-13 ,Теплоснабжение,шт. / pcs,""5,00"",""₽ 3600,00"",""₽ 18000,00""",,,,,,,,
"1470-03-02-01.ТС – Монтаж ЗРА DN 15 (металл),1470-03-02-01.ТС,Монтаж ЗРА DN 15 (металл),16160-13 ,Теплоснабжение,шт. / pcs,""124,00"",""₽ 3168,72"",""₽ 392921,28""",,,,,,,,
"1470-01-04-01.ТС – Трубы из углеродистой стали, до Ду 32, включая все фитинги,1470-01-04-01.ТС,""Трубы из углеродистой стали, до Ду 32, включая все фитинги"",16160-13 ,Теплоснабжение,м / m,""504,00"",""₽ 2776,04"",""₽ 1399124,16""",,,,,,,,
"2041-02-11-02 – Индивидуальный тепловой пункт, Ду ввода ТС 50 мм,2041-02-11-02 ,"" Индивидуальный тепловой пункт, Ду ввода ТС 50 мм"",16160-13 ,Теплоснабжение,компл. / package,""10,00"",""₽ 400000,00"",""₽ 4000000,00""",,,,,,,,
